time_code,year,month,day,week
20140521,2014,5,21,21
20140522,2014,5,22,21
20140523,2014,5,23,21
20140524,2014,5,24,21
20140525,2014,5,25,21
20140526,2014,5,26,22
20140527,2014,5,27,22
20140528,2014,5,28,22
20140529,2014,5,29,22
20140530,2014,5,30,22
20140531,2014,5,31,22
20140601,2014,6,1,22
20140602,2014,6,2,23
20140603,2014,6,3,23
20140604,2014,6,4,23
20140605,2014,6,5,23
20140606,2014,6,6,23
20140607,2014,6,7,23
20140608,2014,6,8,23
20140609,2014,6,9,24
20140610,2014,6,10,24
20140611,2014,6,11,24
20140612,2014,6,12,24
20140613,2014,6,13,24
20140614,2014,6,14,24
20140615,2014,6,15,24
20140616,2014,6,16,25
20140617,2014,6,17,25
20140618,2014,6,18,25
20140619,2014,6,19,25
20140620,2014,6,20,25
20140621,2014,6,21,25
20140622,2014,6,22,25
20140623,2014,6,23,26
20140624,2014,6,24,26
20140625,2014,6,25,26
20140626,2014,6,26,26
20140627,2014,6,27,26
20140628,2014,6,28,26
20140629,2014,6,29,26
20140630,2014,6,30,27
20140701,2014,7,1,27
20140702,2014,7,2,27
20140703,2014,7,3,27
20140704,2014,7,4,27
20140705,2014,7,5,27
20140706,2014,7,6,27
20140707,2014,7,7,28
20140708,2014,7,8,28
20140709,2014,7,9,28
20140710,2014,7,10,28
20140711,2014,7,11,28
20140712,2014,7,12,28
20140713,2014,7,13,28
20140714,2014,7,14,29
20140715,2014,7,15,29
20140716,2014,7,16,29
20140717,2014,7,17,29
20140718,2014,7,18,29
20140719,2014,7,19,29
20140720,2014,7,20,29
20140721,2014,7,21,30
20140722,2014,7,22,30
20140723,2014,7,23,30
20140724,2014,7,24,30
20140725,2014,7,25,30
20140726,2014,7,26,30
20140727,2014,7,27,30
20140728,2014,7,28,31
20140729,2014,7,29,31
20140730,2014,7,30,31
20140731,2014,7,31,31
20140801,2014,8,1,31
20140802,2014,8,2,31
20140803,2014,8,3,31
20140804,2014,8,4,32
20140805,2014,8,5,32
20140806,2014,8,6,32
20140807,2014,8,7,32
20140808,2014,8,8,32
20140809,2014,8,9,32
20140810,2014,8,10,32
20140811,2014,8,11,33
20140812,2014,8,12,33
20140813,2014,8,13,33
20140814,2014,8,14,33
20140815,2014,8,15,33
20140816,2014,8,16,33
20140817,2014,8,17,33
20140818,2014,8,18,34
20140819,2014,8,19,34
20140820,2014,8,20,34
20140821,2014,8,21,34
20140822,2014,8,22,34
20140823,2014,8,23,34
20140824,2014,8,24,34
20140825,2014,8,25,35
20140826,2014,8,26,35
20140827,2014,8,27,35
20140828,2014,8,28,35
20140829,2014,8,29,35
20140830,2014,8,30,35
20140831,2014,8,31,35
20140901,2014,9,1,36
20140902,2014,9,2,36
20140903,2014,9,3,36
20140904,2014,9,4,36
20140905,2014,9,5,36
20140906,2014,9,6,36
20140907,2014,9,7,36
20140908,2014,9,8,37
20140909,2014,9,9,37
20140910,2014,9,10,37
20140911,2014,9,11,37
20140912,2014,9,12,37
20140913,2014,9,13,37
20140914,2014,9,14,37
20140915,2014,9,15,38
20140916,2014,9,16,38
20140917,2014,9,17,38
20140918,2014,9,18,38
20140919,2014,9,19,38
20140920,2014,9,20,38
20140921,2014,9,21,38
20140922,2014,9,22,39
20140923,2014,9,23,39
20140924,2014,9,24,39
20140925,2014,9,25,39
20140926,2014,9,26,39
20140927,2014,9,27,39
20140928,2014,9,28,39
20140929,2014,9,29,40
20140930,2014,9,30,40
20141001,2014,10,1,40
20141002,2014,10,2,40
20141003,2014,10,3,40
20141004,2014,10,4,40
20141005,2014,10,5,40
20141006,2014,10,6,41
20141007,2014,10,7,41
20141008,2014,10,8,41
20141009,2014,10,9,41
20141010,2014,10,10,41
20141011,2014,10,11,41
20141012,2014,10,12,41
20141013,2014,10,13,42
20141014,2014,10,14,42
20141015,2014,10,15,42
20141016,2014,10,16,42
20141017,2014,10,17,42
20141018,2014,10,18,42
20141019,2014,10,19,42
20141020,2014,10,20,43
20141021,2014,10,21,43
20141022,2014,10,22,43
20141023,2014,10,23,43
20141024,2014,10,24,43
20141025,2014,10,25,43
20141026,2014,10,26,43
20141027,2014,10,27,44
20141028,2014,10,28,44
20141029,2014,10,29,44
20141030,2014,10,30,44
20141031,2014,10,31,44
20141101,2014,11,1,44
20141102,2014,11,2,44
20141103,2014,11,3,45
20141104,2014,11,4,45
20141105,2014,11,5,45
20141106,2014,11,6,45
20141107,2014,11,7,45
20141108,2014,11,8,45
20141109,2014,11,9,45
20141110,2014,11,10,46
20141111,2014,11,11,46
20141112,2014,11,12,46
20141113,2014,11,13,46
20141114,2014,11,14,46
20141115,2014,11,15,46
20141116,2014,11,16,46
20141117,2014,11,17,47
20141118,2014,11,18,47
20141119,2014,11,19,47
20141120,2014,11,20,47
20141121,2014,11,21,47
20141122,2014,11,22,47
20141123,2014,11,23,47
20141124,2014,11,24,48
20141125,2014,11,25,48
20141126,2014,11,26,48
20141127,2014,11,27,48
20141128,2014,11,28,48
20141129,2014,11,29,48
20141130,2014,11,30,48
20141201,2014,12,1,49
20141202,2014,12,2,49
20141203,2014,12,3,49
20141204,2014,12,4,49
20141205,2014,12,5,49
20141206,2014,12,6,49
20141207,2014,12,7,49
20141208,2014,12,8,50
20141209,2014,12,9,50
20141210,2014,12,10,50
20141211,2014,12,11,50
20141212,2014,12,12,50
20141213,2014,12,13,50
20141214,2014,12,14,50
20141215,2014,12,15,51
20141216,2014,12,16,51
20141217,2014,12,17,51
20141218,2014,12,18,51
20141219,2014,12,19,51
20141220,2014,12,20,51
20141221,2014,12,21,51
20141222,2014,12,22,52
20141223,2014,12,23,52
20141224,2014,12,24,52
20141225,2014,12,25,52
20141226,2014,12,26,52
20141227,2014,12,27,52
20141228,2014,12,28,52
20141229,2014,12,29,53
20141230,2014,12,30,53
20141231,2014,12,31,53
20150101,2015,1,1,1
20150102,2015,1,2,1
20150103,2015,1,3,1
20150104,2015,1,4,1
20150105,2015,1,5,2
20150106,2015,1,6,2
20150107,2015,1,7,2
20150108,2015,1,8,2
20150109,2015,1,9,2
20150110,2015,1,10,2
20150111,2015,1,11,2
20150112,2015,1,12,3
20150113,2015,1,13,3
20150114,2015,1,14,3
20150115,2015,1,15,3
20150116,2015,1,16,3
20150117,2015,1,17,3
20150118,2015,1,18,3
20150119,2015,1,19,4
20150120,2015,1,20,4
20150121,2015,1,21,4
20150122,2015,1,22,4
20150123,2015,1,23,4
20150124,2015,1,24,4
20150125,2015,1,25,4
20150126,2015,1,26,5
20150127,2015,1,27,5
20150128,2015,1,28,5
20150129,2015,1,29,5
20150130,2015,1,30,5
20150131,2015,1,31,5
20150201,2015,2,1,5
20150202,2015,2,2,6
20150203,2015,2,3,6
20150204,2015,2,4,6
20150205,2015,2,5,6
20150206,2015,2,6,6
20150207,2015,2,7,6
20150208,2015,2,8,6
20150209,2015,2,9,7
20150210,2015,2,10,7
20150211,2015,2,11,7
20150212,2015,2,12,7
20150213,2015,2,13,7
20150214,2015,2,14,7
20150215,2015,2,15,7
20150216,2015,2,16,8
20150217,2015,2,17,8
20150218,2015,2,18,8
20150219,2015,2,19,8
20150220,2015,2,20,8
20150221,2015,2,21,8
20150222,2015,2,22,8
20150223,2015,2,23,9
20150224,2015,2,24,9
20150225,2015,2,25,9
20150226,2015,2,26,9
20150227,2015,2,27,9
20150228,2015,2,28,9
20150301,2015,3,1,9
20150302,2015,3,2,10
20150303,2015,3,3,10
20150304,2015,3,4,10
20150305,2015,3,5,10
20150306,2015,3,6,10
20150307,2015,3,7,10
20150308,2015,3,8,10
20150309,2015,3,9,11
20150310,2015,3,10,11
20150311,2015,3,11,11
20150312,2015,3,12,11
20150313,2015,3,13,11
20150314,2015,3,14,11
20150315,2015,3,15,11
20150316,2015,3,16,12
20150317,2015,3,17,12
20150318,2015,3,18,12
20150319,2015,3,19,12
20150320,2015,3,20,12
20150321,2015,3,21,12
20150322,2015,3,22,12
20150323,2015,3,23,13
20150324,2015,3,24,13
20150325,2015,3,25,13
20150326,2015,3,26,13
20150327,2015,3,27,13
20150328,2015,3,28,13
20150329,2015,3,29,13
20150330,2015,3,30,14
20150331,2015,3,31,14
20150401,2015,4,1,14
20150402,2015,4,2,14
20150403,2015,4,3,14
20150404,2015,4,4,14
20150405,2015,4,5,14
20150406,2015,4,6,15
20150407,2015,4,7,15
20150408,2015,4,8,15
20150409,2015,4,9,15
